K,home_advantage,accuracy,log_loss,brier_score,correct,total
30,0,0.7731958762886598,0.7948706174672067,0.46668259144329893,75,97
25,0,0.7628865979381443,0.8111277250202719,0.4776093185567011,74,97
20,0,0.7628865979381443,0.7973467643829867,0.3969674209278351,74,97
5,0,0.7525773195876289,0.8040360802430794,0.47746644505154634,73,97
15,0,0.7525773195876289,0.71176397160485,0.4070851662886598,73,97
40,0,0.7525773195876289,0.7694634658574598,0.4496909979381444,73,97
35,0,0.7525773195876289,0.7811050006732168,0.4574616834020618,73,97
80,50,0.7422680412371134,1.2972445582496126,0.4721322205154639,72,97
75,50,0.7422680412371134,0.7136759862891415,0.422491403298969,72,97
65,50,0.7422680412371134,0.7784670572022215,0.4325349798969072,72,97
55,0,0.7422680412371134,0.7443903182580369,0.43292211340206177,72,97
50,25,0.7422680412371134,0.8006774430234846,0.41516404505154636,72,97
45,0,0.7422680412371134,0.7596309963837785,0.44313143144329903,72,97
10,0,0.7422680412371134,0.7282163661460097,0.43143376134020617,72,97
70,0,0.7319587628865979,0.7782596215339191,0.400935654742268,71,97
70,50,0.7319587628865979,0.7167867245699866,0.4242568124742268,71,97
60,0,0.7319587628865979,0.6993345817674586,0.3962184679381443,71,97
50,0,0.7319587628865979,0.7263524064831314,0.39227724618556703,71,97
45,25,0.7319587628865979,0.7791388534033035,0.41256920855670104,71,97
65,0,0.7216494845360825,0.7035140086970975,0.3959943928865979,70,97
60,50,0.7216494845360825,0.7253889088207657,0.4291768876288659,70,97
60,25,0.7216494845360825,0.6887224465559432,0.40216400927835055,70,97
55,25,0.7216494845360825,0.6858686771038985,0.4026301249484537,70,97
65,25,0.7216494845360825,0.7358826316311391,0.435631230927835,70,97
20,25,0.7216494845360825,0.709423752587672,0.42073041793814436,70,97
80,0,0.711340206185567,0.7223745728394111,0.39831282257731965,69,97
75,0,0.711340206185567,0.7937958257569385,0.40372378886597937,69,97
70,25,0.711340206185567,0.7311002750921982,0.4322933273195876,69,97
70,75,0.711340206185567,0.8333860822106929,0.4610081722680412,69,97
25,25,0.711340206185567,0.6953570974340826,0.4143308249484536,69,97
80,25,0.711340206185567,0.7238469878094592,0.42709414,69,97
80,75,0.711340206185567,1.0329334359106146,0.4795642249484536,69,97
75,75,0.711340206185567,0.8468534029223249,0.4613326031958763,69,97
75,25,0.711340206185567,0.7271053843395681,0.42946987515463914,69,97
35,50,0.711340206185567,0.7226813837833078,0.435603798556701,69,97
45,50,0.711340206185567,0.6917543314051922,0.4192575635051546,69,97
40,25,0.7010309278350515,0.7030654830681546,0.4085929563917526,68,97
35,25,0.7010309278350515,0.6927340116464424,0.41403491443298973,68,97
10,25,0.7010309278350515,1.0199573465453073,0.4776478046391752,68,97
40,50,0.7010309278350515,0.7244522017656291,0.4325396642268041,68,97
30,25,0.7010309278350515,0.7012078478476509,0.42080313876288666,68,97
15,25,0.7010309278350515,0.8412923177114292,0.500047831443299,68,97
65,75,0.7010309278350515,0.8207898417424196,0.4608989229896907,68,97
5,25,0.6907216494845361,0.8601794719429801,0.46640360350515464,67,97
55,50,0.6907216494845361,0.743817526570306,0.44487218618556695,67,97
75,100,0.6907216494845361,0.72214763222022,0.43621440907216497,67,97
50,75,0.6907216494845361,0.7133340307413274,0.4378224069072165,67,97
20,75,0.6804123711340206,0.8585673641406338,0.48712374082474225,66,97
30,75,0.6804123711340206,0.8339271534461654,0.4723694764948454,66,97
10,50,0.6804123711340206,0.885633563076473,0.499291286701031,66,97
25,50,0.6804123711340206,0.7894717013187026,0.45593092092783505,66,97
45,75,0.6804123711340206,0.7769282118449065,0.4637426008247423,66,97
60,75,0.6804123711340206,0.8091961527143426,0.4610523100000001,66,97
55,75,0.6804123711340206,0.7448322605848094,0.44877798762886595,66,97
40,75,0.6804123711340206,0.8183844545934738,0.46417592917525774,66,97
50,50,0.6804123711340206,0.7517767688758149,0.449994570927835,66,97
55,100,0.6701030927835051,0.8203787476400554,0.471844503814433,65,97
60,125,0.6701030927835051,0.837927744124864,0.486181604742268,65,97
60,100,0.6701030927835051,0.8179415955354747,0.47059392113402065,65,97
50,100,0.6701030927835051,0.8237707653844178,0.4736202949484536,65,97
55,125,0.6701030927835051,0.8410375476514523,0.4882161642268041,65,97
65,100,0.6701030927835051,0.8163611770840287,0.4697770748453609,65,97
30,50,0.6701030927835051,0.7806029382644462,0.46272522608247424,65,97
70,125,0.6701030927835051,0.8343405434598127,0.4835864530927836,65,97
75,125,0.6701030927835051,1.0358734966248067,0.5306586869072165,65,97
25,75,0.6701030927835051,0.8448560217135166,0.47869451123711343,65,97
80,125,0.6701030927835051,0.7311590680482476,0.4451427688659793,65,97
45,100,0.6701030927835051,0.8283846312248677,0.47607397639175253,65,97
80,100,0.6701030927835051,0.8156622633630669,0.4690967993814433,65,97
35,75,0.6701030927835051,0.8252190651016381,0.46764495175257736,65,97
70,100,0.6701030927835051,0.8155441096196329,0.46929686505154633,65,97
65,125,0.6701030927835051,0.8357375458401488,0.4846731447422681,65,97
15,50,0.6701030927835051,0.8169067637683399,0.4747169793814433,65,97
20,50,0.6701030927835051,1.0577124877658046,0.5076029601030929,65,97
35,100,0.6597938144329897,0.841837541916589,0.48373421247422677,64,97
65,150,0.6597938144329897,0.860934395073945,0.5016210860824742,64,97
70,150,0.6597938144329897,0.8588169233788961,0.4997343043298969,64,97
30,100,0.6597938144329897,0.851286423466833,0.48946592917525766,64,97
40,100,0.6597938144329897,0.8342887286560909,0.47936464371134024,64,97
75,150,0.6597938144329897,0.8574266991851894,0.4982939159793814,64,97
15,75,0.6494845360824743,0.8755725748681483,0.4982305976288659,63,97
60,150,0.6494845360824743,0.8639040541660706,0.5040499368041237,63,97
45,125,0.6494845360824743,0.8505784455088817,0.49437729422680404,63,97
25,100,0.6494845360824743,0.86306224791393,0.4968967546391754,63,97
55,150,0.6494845360824743,0.8678565517720966,0.5071393970103093,63,97
50,150,0.6494845360824743,0.8729167934694729,0.5110102653608247,63,97
50,125,0.6494845360824743,0.8452018713320627,0.49090061340206187,63,97
40,125,0.6494845360824743,0.8573921630822302,0.49883696731958765,63,97
80,150,0.6494845360824743,0.8969613595606396,0.51351945,63,97
45,150,0.6391752577319587,1.1509091471805415,0.5961950245360825,62,97
40,150,0.6391752577319587,2.436557775449116,0.6926372012371134,62,97
30,125,0.6391752577319587,0.8764547106547553,0.5116513644329896,62,97
5,50,0.6288659793814433,0.8383965563574235,0.5131094289690722,61,97
35,150,0.6288659793814433,0.8970375834721201,0.5290469104123712,61,97
35,125,0.6288659793814433,0.8659194369855558,0.5045032524742268,61,97
20,100,0.6185567010309279,0.8776038551683089,0.5064703773195876,60,97
25,125,0.6082474226804123,0.8893242958959976,0.520580637628866,59,97
30,150,0.6082474226804123,0.9088626119752142,0.5379101546391752,59,97
10,75,0.6082474226804123,0.896621094336953,0.5127305770103093,59,97
5,75,0.5979381443298969,0.8555495424611126,0.5193794330927834,58,97
20,125,0.5876288659793815,0.9050506168073872,0.5316560955670103,57,97
15,100,0.5876288659793815,1.1363984255312176,0.6156979568041236,57,97
10,100,0.5876288659793815,0.9172667334889091,0.5340598450515464,57,97
5,100,0.5876288659793815,0.9438088210479012,0.5531977769072165,57,97
20,150,0.5670103092783505,0.9402904949827368,0.5613683127835052,55,97
10,125,0.5670103092783505,0.9469668980752568,0.5617088937113403,55,97
15,125,0.5670103092783505,0.9240409154266579,0.5452469971134021,55,97
15,150,0.5567010309278351,0.9607359166238723,0.5764520765979381,54,97
5,150,0.5463917525773195,1.0232553225763719,0.6217771068041237,53,97
5,125,0.5360824742268041,0.9744759824054046,0.5813806306185567,52,97
10,150,0.5257731958762887,0.9898740013754121,0.6052551013402062,51,97
25,150,0.5154639175257731,0.9109066652842023,0.5633123751546392,50,97
