match_id,group,stage,home_team,away_team,home_score,away_score,status,datetime,stadium
1,A,Group Stage,Mexico,South Africa,2,0,completed,06/11/2026 13:00,1
2,A,Group Stage,South Korea,Czech Republic,2,1,completed,06/11/2026 20:00,2
3,B,Group Stage,Canada,Bosnia and Herzegovina,1,1,completed,06/12/2026 15:00,12
4,D,Group Stage,United States,Paraguay,4,1,completed,06/12/2026 18:00,16
5,C,Group Stage,Haiti,Scotland,0,1,completed,06/13/2026 21:00,9
6,D,Group Stage,Australia,Turkey,2,0,completed,06/13/2026 21:00,13
7,C,Group Stage,Brazil,Morocco,1,1,completed,06/13/2026 18:00,11
8,B,Group Stage,Qatar,Switzerland,1,1,completed,06/13/2026 12:00,15
9,E,Group Stage,Ivory Coast,Ecuador,1,0,completed,06/14/2026 19:00,10
10,E,Group Stage,Germany,Curaçao,7,1,completed,06/14/2026 12:00,5
11,F,Group Stage,Netherlands,Japan,2,2,completed,06/14/2026 15:00,4
12,F,Group Stage,Sweden,Tunisia,5,1,completed,06/14/2026 20:00,3
13,G,Group Stage,Iran,New Zealand,2,2,completed,06/15/2026 18:00,16
14,H,Group Stage,Spain,Cape Verde,0,0,completed,06/15/2026 12:00,7
15,G,Group Stage,Belgium,Egypt,1,1,completed,06/15/2026 12:00,14
16,H,Group Stage,Saudi Arabia,Uruguay,1,1,completed,06/15/2026 18:00,8
17,I,Group Stage,France,Senegal,3,1,completed,06/16/2026 15:00,11
18,I,Group Stage,Iraq,Norway,1,4,completed,06/16/2026 18:00,9
19,J,Group Stage,Argentina,Algeria,3,0,completed,06/16/2026 20:00,6
20,J,Group Stage,Austria,Jordan,3,1,completed,06/16/2026 21:00,15
21,K,Group Stage,Portugal,Democratic Republic of the Congo,1,1,completed,06/17/2026 12:00,5
22,L,Group Stage,England,Croatia,4,2,completed,06/17/2026 15:00,4
23,K,Group Stage,Uzbekistan,Colombia,1,3,completed,06/17/2026 20:00,1
24,L,Group Stage,Ghana,Panama,1,0,completed,06/17/2026 19:00,12
25,A,Group Stage,Mexico,South Korea,1,0,completed,06/18/2026 19:00,2
26,B,Group Stage,Switzerland,Bosnia and Herzegovina,4,1,completed,06/18/2026 12:00,16
27,B,Group Stage,Canada,Qatar,6,0,completed,06/18/2026 15:00,13
28,A,Group Stage,Czech Republic,South Africa,1,1,completed,06/18/2026 12:00,7
29,C,Group Stage,Brazil,Haiti,3,0,completed,06/19/2026 21:00,10
30,C,Group Stage,Scotland,Morocco,0,1,completed,06/19/2026 18:00,9
31,D,Group Stage,United States,Australia,2,0,completed,06/19/2026 12:00,14
32,D,Group Stage,Turkey,Paraguay,0,1,completed,06/19/2026 20:00,15
33,E,Group Stage,Germany,Ivory Coast,2,1,completed,06/20/2026 16:00,12
34,E,Group Stage,Ecuador,Curaçao,0,0,completed,06/20/2026 19:00,6
35,F,Group Stage,Netherlands,Sweden,5,1,completed,06/20/2026 12:00,5
36,F,Group Stage,Tunisia,Japan,0,4,completed,06/20/2026 22:00,3
37,G,Group Stage,Belgium,Iran,0,0,completed,06/21/2026 12:00,16
38,G,Group Stage,New Zealand,Egypt,1,3,completed,06/21/2026 18:00,13
39,H,Group Stage,Spain,Saudi Arabia,4,0,completed,06/21/2026 12:00,7
40,H,Group Stage,Uruguay,Cape Verde,2,2,completed,06/21/2026 18:00,8
41,I,Group Stage,France,Iraq,3,0,completed,06/22/2026 17:00,10
42,I,Group Stage,Norway,Senegal,3,2,completed,06/22/2026 20:00,11
43,J,Group Stage,Argentina,Austria,2,0,completed,06/22/2026 12:00,4
44,J,Group Stage,Jordan,Algeria,1,2,completed,06/22/2026 20:00,15
45,K,Group Stage,Portugal,Uzbekistan,5,0,completed,06/23/2026 12:00,5
46,L,Group Stage,Panama,Croatia,0,1,completed,06/23/2026 19:00,12
47,K,Group Stage,Colombia,Democratic Republic of the Congo,1,0,completed,06/23/2026 20:00,2
48,L,Group Stage,England,Ghana,0,0,completed,06/23/2026 16:00,9
49,C,Group Stage,Scotland,Brazil,0,3,completed,06/24/2026 18:00,8
50,C,Group Stage,Morocco,Haiti,4,2,completed,06/24/2026 18:00,7
51,A,Group Stage,South Africa,South Korea,1,0,completed,06/24/2026 19:00,3
52,A,Group Stage,Czech Republic,Mexico,0,3,completed,06/24/2026 19:00,1
53,B,Group Stage,Bosnia and Herzegovina,Qatar,3,1,completed,06/24/2026 12:00,14
54,B,Group Stage,Switzerland,Canada,2,1,completed,06/24/2026 12:00,13
55,E,Group Stage,Curaçao,Ivory Coast,0,2,completed,06/25/2026 16:00,10
56,E,Group Stage,Ecuador,Germany,2,1,completed,06/25/2026 16:00,11
57,D,Group Stage,Paraguay,Australia,0,0,completed,06/25/2026 19:00,15
58,D,Group Stage,Turkey,United States,3,2,completed,06/25/2026 19:00,16
59,F,Group Stage,Japan,Sweden,1,1,completed,06/25/2026 18:00,4
60,F,Group Stage,Tunisia,Netherlands,1,3,completed,06/25/2026 18:00,6
61,I,Group Stage,Senegal,Iraq,5,0,completed,06/26/2026 15:00,12
62,I,Group Stage,Norway,France,1,4,completed,06/26/2026 15:00,9
63,G,Group Stage,Egypt,Iran,1,1,completed,06/26/2026 20:00,14
64,G,Group Stage,New Zealand,Belgium,1,5,completed,06/26/2026 20:00,13
65,H,Group Stage,Cape Verde,Saudi Arabia,0,0,completed,06/26/2026 19:00,5
66,H,Group Stage,Uruguay,Spain,0,1,completed,06/26/2026 18:00,2
67,L,Group Stage,Panama,England,0,2,completed,06/27/2026 17:00,11
68,L,Group Stage,Croatia,Ghana,2,1,completed,06/27/2026 17:00,10
69,J,Group Stage,Algeria,Austria,3,3,completed,06/27/2026 21:00,6
70,J,Group Stage,Jordan,Argentina,1,3,completed,06/27/2026 21:00,4
71,K,Group Stage,Colombia,Portugal,0,0,completed,06/27/2026 19:30,8
72,K,Group Stage,Democratic Republic of the Congo,Uzbekistan,3,1,completed,06/27/2026 19:30,7
73,R32,Round of 32,South Africa,Canada,0,1,completed,06/28/2026 12:00,16
74,R32,Round of 32,Germany,Paraguay,1,1,completed,06/29/2026 16:30,9
75,R32,Round of 32,Netherlands,Morocco,1,1,completed,06/29/2026 19:00,3
76,R32,Round of 32,Brazil,Japan,2,1,completed,06/29/2026 12:00,5
77,R32,Round of 32,France,Sweden,3,0,completed,06/30/2026 17:00,11
78,R32,Round of 32,Ivory Coast,Norway,1,2,completed,06/30/2026 12:00,4
79,R32,Round of 32,Mexico,Ecuador,2,0,completed,06/30/2026 19:00,1
80,R32,Round of 32,England,Democratic Republic of the Congo,2,1,completed,07/01/2026 12:00,7
81,R32,Round of 32,United States,Bosnia and Herzegovina,2,0,completed,07/01/2026 17:00,15
82,R32,Round of 32,Belgium,Senegal,3,2,completed,07/01/2026 13:00,14
83,R32,Round of 32,Portugal,Croatia,2,1,completed,07/02/2026 19:00,12
84,R32,Round of 32,Spain,Austria,3,0,completed,07/02/2026 12:00,16
85,R32,Round of 32,Switzerland,Algeria,2,0,completed,07/02/2026 20:00,13
86,R32,Round of 32,Argentina,Cape Verde,3,2,completed,07/03/2026 18:00,8
87,R32,Round of 32,Colombia,Ghana,1,0,completed,07/03/2026 20:30,6
88,R32,Round of 32,Australia,Egypt,1,1,completed,07/03/2026 13:00,4
89,R16,Round of 16,Paraguay,France,0,1,completed,07/04/2026 17:00,10
90,R16,Round of 16,Canada,Morocco,0,3,completed,07/04/2026 12:00,5
91,R16,Round of 16,Brazil,Norway,1,2,completed,07/05/2026 16:00,11
92,R16,Round of 16,Mexico,England,2,3,completed,07/05/2026 18:00,1
93,R16,Round of 16,Portugal,Spain,0,1,completed,07/06/2026 14:00,4
94,R16,Round of 16,United States,Belgium,1,4,completed,07/06/2026 17:00,14
95,R16,Round of 16,Argentina,Egypt,3,2,completed,07/07/2026 12:00,7
96,R16,Round of 16,Switzerland,Colombia,0,0,completed,07/07/2026 13:00,13
97,QF,Quarter-finals,France,Morocco,2,0,completed,07/09/2026 16:00,9
98,QF,Quarter-finals,Spain,Belgium,0,0,scheduled,07/10/2026 12:00,16
99,QF,Quarter-finals,Norway,England,0,0,scheduled,07/11/2026 17:00,8
100,QF,Quarter-finals,Argentina,Switzerland,0,0,scheduled,07/11/2026 20:00,6
101,SF,Semi-finals,France,Winner Match 98,0,0,scheduled,07/14/2026 14:00,4
102,SF,Semi-finals,Winner Match 99,Winner Match 100,0,0,scheduled,07/15/2026 15:00,7
103,3RD,Third Place,Loser Match 101,Loser Match 102,0,0,scheduled,07/18/2026 17:00,8
104,FINAL,Final,Winner Match 101,Winner Match 102,0,0,scheduled,07/19/2026 15:00,11
